;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
fixed acidity;1;-0.02269729;0.289180698;0.089020701;0.023085644;-0.049395859;0.091069756;0.265331014;-0.425858291;-0.017142985;-0.120881123;-0.113662831
volatile acidity;-0.02269729;1;-0.149471811;0.06428606;0.070511571;-0.097011939;0.089260504;0.027113845;-0.031915368;-0.035728147;0.067717943;-0.194722969
citric acid;0.289180698;-0.149471811;1;0.094211624;0.114364448;0.094077221;0.121130798;0.149502571;-0.163748211;0.06233094;-0.07572873;-0.009209091
residual sugar;0.089020701;0.06428606;0.094211624;1;0.088684536;0.299098354;0.401439311;0.838966455;-0.194133454;-0.026664366;-0.450631222;-0.097576829
chlorides;0.023085644;0.070511571;0.114364448;0.088684536;1;0.101392352;0.1989103;0.25721132;-0.090439456;0.016762884;-0.360188712;-0.209934411
free sulfur dioxide;-0.049395859;-0.097011939;0.094077221;0.299098354;0.101392352;1;0.615500965;0.294210411;-0.000617796;0.059217246;-0.250103941;0.008158067
total sulfur dioxide;0.091069756;0.089260504;0.121130798;0.401439311;0.1989103;0.615500965;1;0.529881324;0.002320972;0.134562367;-0.448892102;-0.174737218
density;0.265331014;0.027113845;0.149502571;0.838966455;0.25721132;0.294210411;0.529881324;1;-0.093591493;0.074493149;-0.780137621;-0.307123313
pH;-0.425858291;-0.031915368;-0.163748211;-0.194133454;-0.090439456;-0.000617796;0.002320972;-0.093591493;1;0.155951497;0.121432099;0.099427246
sulphates;-0.017142985;-0.035728147;0.06233094;-0.026664366;0.016762884;0.059217246;0.134562367;0.074493149;0.155951497;1;-0.017432772;0.053677877
alcohol;-0.120881123;0.067717943;-0.07572873;-0.450631222;-0.360188712;-0.250103941;-0.448892102;-0.780137621;0.121432099;-0.017432772;1;0.435574715
quality;-0.113662831;-0.194722969;-0.009209091;-0.097576829;-0.209934411;0.008158067;-0.174737218;-0.307123313;0.099427246;0.053677877;0.435574715;1
